SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,gender_Male,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,churn_probability,risk_segment
0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0,False,False,False,False,False,False,True,False,0.6082511544943082,Medium Risk
0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,0,True,False,False,True,False,False,False,True,0.046646726652507874,Low Risk
0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,True,False,False,False,False,False,False,True,0.29625763139914724,Low Risk
0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,0,True,False,False,True,False,False,False,False,0.03006387521348119,Low Risk
0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,False,True,False,False,False,False,True,False,0.6939654226893729,High Risk
0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1,False,True,False,False,False,False,True,False,0.794404610594096,High Risk
0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,0,True,True,False,False,False,True,False,False,0.4793001549272154,Medium Risk
0,0,0,10,0,0,1,0,0,0,0,0,0,29.75,301.9,0,False,False,False,False,False,False,False,True,0.28694872201983934,Low Risk
0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,False,True,False,False,False,False,True,False,0.6245988358309039,Medium Risk
0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,0,True,False,False,True,False,False,False,False,0.010835087629884993,Low Risk
0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,0,True,False,False,False,False,False,False,True,0.20767154444476138,Low Risk
0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,0,True,False,True,False,True,True,False,False,0.027269353857534533,Low Risk
0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,0,True,True,False,True,False,True,False,False,0.17900228871333876,Low Risk
0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1,True,True,False,False,False,False,False,False,0.426581264525185,Medium Risk
0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,0,True,True,False,False,False,False,True,False,0.4729308788266462,Medium Risk
0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,7895.15,0,False,True,False,False,True,True,False,False,0.03152961465304353,Low Risk
0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,0,False,False,True,True,False,False,False,True,0.010799189001214559,Low Risk
0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,0,True,True,False,False,True,False,False,False,0.045057360511267054,Low Risk
0,1,1,10,1,0,0,0,1,1,0,0,0,55.2,528.35,1,False,False,False,False,False,True,False,False,0.15569844602534427,Low Risk
0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,1862.9,0,False,True,False,False,False,False,True,False,0.563714348379567,Medium Risk
1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,True,False,False,False,False,False,True,False,0.7205509487747442,High Risk
0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,202.25,0,True,False,True,True,False,False,False,False,0.06511935485522499,Low Risk
0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1,True,False,True,False,False,False,False,True,0.198387153556761,Low Risk
0,1,0,58,1,1,0,1,0,1,0,0,1,59.9,3505.1,0,False,False,False,False,True,True,False,False,0.016510044626364354,Low Risk
0,1,1,49,1,0,1,1,0,1,0,0,0,59.6,2970.3,0,True,False,False,False,False,True,False,False,0.025177496621895924,Low Risk
0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,0,False,False,False,False,False,False,False,False,0.11332545414027594,Low Risk
0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,1,True,True,False,False,False,False,True,False,0.488680555471056,Medium Risk
0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1,True,False,False,False,False,False,True,False,0.46731990259215517,Medium Risk
0,1,0,72,1,1,1,1,1,1,1,1,1,90.25,6369.45,0,True,False,False,False,True,True,False,False,0.01620341042058415,Low Risk
0,0,1,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,False,False,False,False,False,False,False,True,0.34900137219801497,Medium Risk
1,1,0,71,1,1,1,1,1,1,0,0,1,96.35,6766.95,0,False,True,False,False,True,True,False,False,0.029880947854836644,Low Risk
1,1,0,2,1,0,0,0,1,0,1,1,1,95.5,181.65,0,True,True,False,False,False,True,False,False,0.7319000472149819,High Risk
0,1,1,27,1,0,1,1,1,1,0,0,0,66.15,1874.45,0,False,False,False,True,False,False,False,True,0.03179496903378642,Low Risk
0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,True,False,True,False,False,False,False,False,0.18832703528429307,Low Risk
1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,0,True,False,False,False,False,False,False,False,0.3686188443032242,Medium Risk
0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,0,False,True,False,False,True,False,False,False,0.020431039849160365,Low Risk
0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,1,True,True,False,False,False,False,True,False,0.6728844490101488,High Risk
0,0,0,46,1,0,0,0,1,0,0,0,1,74.8,3548.3,0,False,True,False,False,False,True,False,False,0.24826528719090532,Low Risk
0,0,0,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,1,True,True,False,False,False,False,True,False,0.6263796613327816,Medium Risk
0,0,0,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,1,False,True,False,False,False,False,False,False,0.7066508776759607,High Risk
0,1,1,10,1,0,0,1,0,0,0,0,0,49.55,475.7,0,True,False,False,True,False,False,False,True,0.11403905429233992,Low Risk
0,1,1,70,1,1,1,1,0,0,1,0,1,69.2,4872.35,0,False,False,False,False,True,True,False,False,0.01168499322974322,Low Risk
0,1,1,17,1,0,0,0,0,0,0,0,0,20.75,418.25,0,False,False,True,True,False,False,False,True,0.045429226499364636,Low Risk
0,0,0,63,1,1,1,1,1,1,1,0,1,79.85,4861.45,0,False,False,False,False,True,True,False,False,0.013769571944756554,Low Risk
0,1,0,13,1,1,1,1,0,1,1,0,1,76.2,981.45,0,False,False,False,False,False,False,True,False,0.31764377521861686,Low Risk
